Country,Year,Predicted_Share
Afghanistan,2020,20.768162012791567
Afghanistan,2021,21.25159888985518
Afghanistan,2022,21.728347995998497
Afghanistan,2023,22.16867865852593
Afghanistan,2024,22.54437492671771
Afghanistan,2025,22.839306258014506
Afghanistan,2026,23.05236609011168
Afghanistan,2027,23.19423902077722
Afghanistan,2028,23.28149375504105
Afghanistan,2029,23.331153542386467
Afghanistan,2030,23.35735222262876
Algeria,2020,0.2488933059389576
Algeria,2021,0.2703759982231908
Algeria,2022,0.2874203113156281
Algeria,2023,0.2997778750142162
Algeria,2024,0.3080149169488934
Algeria,2025,0.31308270616519346
Algeria,2026,0.31596854661091717
Algeria,2027,0.3174926021077241
Algeria,2028,0.31824017672099064
Algeria,2029,0.3185811609382274
Algeria,2030,0.31872591598398775
Angola,2020,59.04300014492922
Angola,2021,59.67422185421575
Angola,2022,59.92882942636493
Angola,2023,59.92303244360141
Angola,2024,59.77758875005471
Angola,2025,59.58809658392236
Angola,2026,59.41357250618602
Angola,2027,59.279739484751566
Angola,2028,59.18969055587911
Angola,2029,59.13525462705459
Angola,2030,59.10530907975548
Antigua and Barbuda,2020,0.8510495845932358
Antigua and Barbuda,2021,0.7994357847587057
Antigua and Barbuda,2022,0.716497164429103
Antigua and Barbuda,2023,0.6216947766889711
Antigua and Barbuda,2024,0.5314068389375286
Antigua and Barbuda,2025,0.4559751774039822
Antigua and Barbuda,2026,0.3993785913345681
Antigua and Barbuda,2027,0.36075306732587603
Antigua and Barbuda,2028,0.33659004226800765
Antigua and Barbuda,2029,0.32266501491292177
Antigua and Barbuda,2030,0.31524679913856135
Argentina,2020,10.698042862317237
Argentina,2021,10.680790198488147
Argentina,2022,10.589048104981163
Argentina,2023,10.459217613808391
Argentina,2024,10.324378646304172
Argentina,2025,10.2069596395644
Argentina,2026,10.117154957152133
Argentina,2027,10.055492787695094
Argentina,2028,10.01701675106646
Argentina,2029,9.995034511696238
Argentina,2030,9.98347826653335
Armenia,2020,10.457351388571103
Armenia,2021,9.915593679635908
Armenia,2022,9.414203229938003
Armenia,2023,9.017240188845006
Armenia,2024,8.743937526183515
Armenia,2025,8.580247843611144
Armenia,2026,8.49634309344006
Armenia,2027,8.46135149353679
Armenia,2028,8.451444095700634
Armenia,2029,8.45176405397705
Armenia,2030,8.454766084510087
Aruba,2020,5.875072444450906
Aruba,2021,5.565825540753558
Aruba,2022,5.191474489588823
Aruba,2023,4.788137886850216
Aruba,2024,4.4041994202580454
Aruba,2025,4.078647616234713
Aruba,2026,3.8303149206136062
Aruba,2027,3.658461542481624
Aruba,2028,3.549853167452675
Aruba,2029,3.4868508137382963
Aruba,2030,3.45317392064583
Australia,2020,9.414451050444246
Australia,2021,9.271042887802924
Australia,2022,9.106911778883687
Australia,2023,8.941929865075297
Australia,2024,8.793722147751275
Australia,2025,8.67354917378107
Australia,2026,8.58500628305267
Australia,2027,8.525431285584807
Australia,2028,8.488685317074316
Australia,2029,8.467844022251878
Australia,2030,8.456947411681789
Austria,2020,32.472250298085726
Austria,2021,31.94421759176701
Austria,2022,31.48909322163395
Austria,2023,31.118709998542794
Austria,2024,30.833335395543358
Austria,2025,30.625258239917002
Austria,2026,30.48200427871665
Austria,2027,30.389149909873517
Austria,2028,30.33264537263011
Austria,2029,30.300440945170184
Austria,2030,30.28328123267595
Azerbaijan,2020,2.167817575535718
Azerbaijan,2021,2.2421022884274686
Azerbaijan,2022,2.3101171206779516
Azerbaijan,2023,2.370088014358836
